_id.int32(),name.string(),type1.string(),type2.string(),total.int32(),hp.int32(),attack.int32(),defense.int32(),spatk.int32(),spdef.int32(),speed.int32(),generation.int32(),legendary.boolean()
365,walrein,ice,water,530,110,80,90,95,90,65,3,false
366,clamperl,water,,345,35,64,85,74,55,32,3,false
367,huntail,water,,485,55,104,105,94,75,52,3,false
368,gorebyss,water,,485,55,84,105,114,75,52,3,false
369,relicanth,water,rock,485,100,90,130,45,65,55,3,false
370,luvdisc,water,,330,43,30,55,40,65,97,3,false
371,bagon,dragon,,300,45,75,60,40,30,50,3,false
372,shelgon,dragon,,420,65,95,100,60,50,50,3,false
373,salamence,dragon,flying,600,95,135,80,110,80,100,3,false
374,beldum,steel,psychic,300,40,55,80,35,60,30,3,false
375,metang,steel,psychic,420,60,75,100,55,80,50,3,false
376,metagross,steel,psychic,600,80,135,130,95,90,70,3,false
377,regirock,rock,,580,80,100,200,50,100,50,3,true
378,regice,ice,,580,80,50,100,100,200,50,3,true
379,registeel,steel,,580,80,75,150,75,150,50,3,true
380,latias,dragon,psychic,600,80,80,90,110,130,110,3,true
381,latios,dragon,psychic,600,80,90,80,130,110,110,3,true
382,kyogre,water,,670,100,100,90,150,140,90,3,true
383,groudon,ground,,670,100,150,140,100,90,90,3,true
384,rayquaza,dragon,flying,680,105,150,90,150,90,95,3,true
385,jirachi,steel,psychic,600,100,100,100,100,100,100,3,true
386,deoxysnormal forme,psychic,,600,50,150,50,150,50,150,3,true
387,turtwig,grass,,318,55,68,64,45,55,31,4,false
388,grotle,grass,,405,75,89,85,55,65,36,4,false
389,torterra,grass,ground,525,95,109,105,75,85,56,4,false
390,chimchar,fire,,309,44,58,44,58,44,61,4,false
391,monferno,fire,fighting,405,64,78,52,78,52,81,4,false
392,infernape,fire,fighting,534,76,104,71,104,71,108,4,false
393,piplup,water,,314,53,51,53,61,56,40,4,false
394,prinplup,water,,405,64,66,68,81,76,50,4,false
395,empoleon,water,steel,530,84,86,88,111,101,60,4,false
396,starly,normal,flying,245,40,55,30,30,30,60,4,false
397,staravia,normal,flying,340,55,75,50,40,40,80,4,false
398,staraptor,normal,flying,485,85,120,70,50,60,100,4,false
399,bidoof,normal,,250,59,45,40,35,40,31,4,false
400,bibarel,normal,water,410,79,85,60,55,60,71,4,false
401,kricketot,bug,,194,37,25,41,25,41,25,4,false
402,kricketune,bug,,384,77,85,51,55,51,65,4,false
403,shinx,electric,,263,45,65,34,40,34,45,4,false
404,luxio,electric,,363,60,85,49,60,49,60,4,false
405,luxray,electric,,523,80,120,79,95,79,70,4,false
406,budew,grass,poison,280,40,30,35,50,70,55,4,false
407,roserade,grass,poison,515,60,70,65,125,105,90,4,false
408,cranidos,rock,,350,67,125,40,30,30,58,4,false
409,rampardos,rock,,495,97,165,60,65,50,58,4,false
410,shieldon,rock,steel,350,30,42,118,42,88,30,4,false
411,bastiodon,rock,steel,495,60,52,168,47,138,30,4,false
412,burmy,bug,,224,40,29,45,29,45,36,4,false
413,wormadamplant cloak,bug,grass,424,60,59,85,79,105,36,4,false
414,mothim,bug,flying,424,70,94,50,94,50,66,4,false
415,combee,bug,flying,244,30,30,42,30,42,70,4,false
416,vespiquen,bug,flying,474,70,80,102,80,102,40,4,false
417,pachirisu,electric,,405,60,45,70,45,90,95,4,false
418,buizel,water,,330,55,65,35,60,30,85,4,false
419,floatzel,water,,495,85,105,55,85,50,115,4,false
420,cherubi,grass,,275,45,35,45,62,53,35,4,false
421,cherrim,grass,,450,70,60,70,87,78,85,4,false
422,shellos,water,,325,76,48,48,57,62,34,4,false
423,gastrodon,water,ground,475,111,83,68,92,82,39,4,false
424,ambipom,normal,,482,75,100,66,60,66,115,4,false
425,drifloon,ghost,flying,348,90,50,34,60,44,70,4,false
426,drifblim,ghost,flying,498,150,80,44,90,54,80,4,false
427,buneary,normal,,350,55,66,44,44,56,85,4,false
428,lopunny,normal,,480,65,76,84,54,96,105,4,false
429,mismagius,ghost,,495,60,60,60,105,105,105,4,false
430,honchkrow,dark,flying,505,100,125,52,105,52,71,4,false
431,glameow,normal,,310,49,55,42,42,37,85,4,false
432,purugly,normal,,452,71,82,64,64,59,112,4,false
433,chingling,psychic,,285,45,30,50,65,50,45,4,false
434,stunky,poison,dark,329,63,63,47,41,41,74,4,false
435,skuntank,poison,dark,479,103,93,67,71,61,84,4,false
436,bronzor,steel,psychic,300,57,24,86,24,86,23,4,false
437,bronzong,steel,psychic,500,67,89,116,79,116,33,4,false
438,bonsly,rock,,290,50,80,95,10,45,10,4,false
439,mime jr.,psychic,fairy,310,20,25,45,70,90,60,4,false
440,happiny,normal,,220,100,5,5,15,65,30,4,false
441,chatot,normal,flying,411,76,65,45,92,42,91,4,false
442,spiritomb,ghost,dark,485,50,92,108,92,108,35,4,false
443,gible,dragon,ground,300,58,70,45,40,45,42,4,false
444,gabite,dragon,ground,410,68,90,65,50,55,82,4,false
445,garchomp,dragon,ground,600,108,130,95,80,85,102,4,false
446,munchlax,normal,,390,135,85,40,40,85,5,4,false
447,riolu,fighting,,285,40,70,40,35,40,60,4,false
448,lucario,fighting,steel,525,70,110,70,115,70,90,4,false
449,hippopotas,ground,,330,68,72,78,38,42,32,4,false
450,hippowdon,ground,,525,108,112,118,68,72,47,4,false
451,skorupi,poison,bug,330,40,50,90,30,55,65,4,false
452,drapion,poison,dark,500,70,90,110,60,75,95,4,false
453,croagunk,poison,fighting,300,48,61,40,61,40,50,4,false
454,toxicroak,poison,fighting,490,83,106,65,86,65,85,4,false
455,carnivine,grass,,454,74,100,72,90,72,46,4,false
456,finneon,water,,330,49,49,56,49,61,66,4,false
457,lumineon,water,,460,69,69,76,69,86,91,4,false
458,mantyke,water,flying,345,45,20,50,60,120,50,4,false
459,snover,grass,ice,334,60,62,50,62,60,40,4,false
460,abomasnow,grass,ice,494,90,92,75,92,85,60,4,false
461,weavile,dark,ice,510,70,120,65,45,85,125,4,false
462,magnezone,electric,steel,535,70,70,115,130,90,60,4,false
463,lickilicky,normal,,515,110,85,95,80,95,50,4,false
464,rhyperior,ground,rock,535,115,140,130,55,55,40,4,false
465,tangrowth,grass,,535,100,100,125,110,50,50,4,false
466,electivire,electric,,540,75,123,67,95,85,95,4,false
467,magmortar,fire,,540,75,95,67,125,95,83,4,false
468,togekiss,fairy,flying,545,85,50,95,120,115,80,4,false
469,yanmega,bug,flying,515,86,76,86,116,56,95,4,false
470,leafeon,grass,,525,65,110,130,60,65,95,4,false
471,glaceon,ice,,525,65,60,110,130,95,65,4,false
472,gliscor,ground,flying,510,75,95,125,45,75,95,4,false
473,mamoswine,ice,ground,530,110,130,80,70,60,80,4,false
474,porygon-z,normal,,535,85,80,70,135,75,90,4,false
475,gallade,psychic,fighting,518,68,125,65,65,115,80,4,false
476,probopass,rock,steel,525,60,55,145,75,150,40,4,false
477,dusknoir,ghost,,525,45,100,135,65,135,45,4,false
478,froslass,ice,ghost,480,70,80,70,80,70,110,4,false
479,rotom,electric,ghost,440,50,50,77,95,77,91,4,false
480,uxie,psychic,,580,75,75,130,75,130,95,4,true
481,mesprit,psychic,,580,80,105,105,105,105,80,4,true
482,azelf,psychic,,580,75,125,70,125,70,115,4,true
483,dialga,steel,dragon,680,100,120,120,150,100,90,4,true
484,palkia,water,dragon,680,90,120,100,150,120,100,4,true
485,heatran,fire,steel,600,91,90,106,130,106,77,4,true
486,regigigas,normal,,670,110,160,110,80,110,100,4,true
487,giratinaaltered forme,ghost,dragon,680,150,100,120,100,120,90,4,true
488,cresselia,psychic,,600,120,70,120,75,130,85,4,false
489,phione,water,,480,80,80,80,80,80,80,4,false
490,manaphy,water,,600,100,100,100,100,100,100,4,false
491,darkrai,dark,,600,70,90,90,135,90,125,4,true
492,shayminland forme,grass,,600,100,100,100,100,100,100,4,true
493,arceus,normal,,720,120,120,120,120,120,120,4,true
494,victini,psychic,fire,600,100,100,100,100,100,100,5,true
495,snivy,grass,,308,45,45,55,45,55,63,5,false
496,servine,grass,,413,60,60,75,60,75,83,5,false
497,serperior,grass,,528,75,75,95,75,95,113,5,false
498,tepig,fire,,308,65,63,45,45,45,45,5,false
499,pignite,fire,fighting,418,90,93,55,70,55,55,5,false
500,emboar,fire,fighting,528,110,123,65,100,65,65,5,false
501,oshawott,water,,308,55,55,45,63,45,45,5,false
502,dewott,water,,413,75,75,60,83,60,60,5,false
503,samurott,water,,528,95,100,85,108,70,70,5,false
504,patrat,normal,,255,45,55,39,35,39,42,5,false
505,watchog,normal,,420,60,85,69,60,69,77,5,false
506,lillipup,normal,,275,45,60,45,25,45,55,5,false
507,herdier,normal,,370,65,80,65,35,65,60,5,false
508,stoutland,normal,,500,85,110,90,45,90,80,5,false
509,purrloin,dark,,281,41,50,37,50,37,66,5,false
510,liepard,dark,,446,64,88,50,88,50,106,5,false
511,pansage,grass,,316,50,53,48,53,48,64,5,false
512,simisage,grass,,498,75,98,63,98,63,101,5,false
513,pansear,fire,,316,50,53,48,53,48,64,5,false
514,simisear,fire,,498,75,98,63,98,63,101,5,false
515,panpour,water,,316,50,53,48,53,48,64,5,false
516,simipour,water,,498,75,98,63,98,63,101,5,false
517,munna,psychic,,292,76,25,45,67,55,24,5,false
518,musharna,psychic,,487,116,55,85,107,95,29,5,false
519,pidove,normal,flying,264,50,55,50,36,30,43,5,false
520,tranquill,normal,flying,358,62,77,62,50,42,65,5,false
521,unfezant,normal,flying,488,80,115,80,65,55,93,5,false
522,blitzle,electric,,295,45,60,32,50,32,76,5,false
523,zebstrika,electric,,497,75,100,63,80,63,116,5,false
524,roggenrola,rock,,280,55,75,85,25,25,15,5,false
525,boldore,rock,,390,70,105,105,50,40,20,5,false
526,gigalith,rock,,515,85,135,130,60,80,25,5,false
527,woobat,psychic,flying,313,55,45,43,55,43,72,5,false
528,swoobat,psychic,flying,425,67,57,55,77,55,114,5,false
529,drilbur,ground,,328,60,85,40,30,45,68,5,false
530,excadrill,ground,steel,508,110,135,60,50,65,88,5,false
531,audino,normal,,445,103,60,86,60,86,50,5,false
532,timburr,fighting,,305,75,80,55,25,35,35,5,false
533,gurdurr,fighting,,405,85,105,85,40,50,40,5,false
534,conkeldurr,fighting,,505,105,140,95,55,65,45,5,false
535,tympole,water,,294,50,50,40,50,40,64,5,false
536,palpitoad,water,ground,384,75,65,55,65,55,69,5,false
537,seismitoad,water,ground,509,105,95,75,85,75,74,5,false
538,throh,fighting,,465,120,100,85,30,85,45,5,false
539,sawk,fighting,,465,75,125,75,30,75,85,5,false
540,sewaddle,bug,grass,310,45,53,70,40,60,42,5,false
541,swadloon,bug,grass,380,55,63,90,50,80,42,5,false
542,leavanny,bug,grass,500,75,103,80,70,80,92,5,false
543,venipede,bug,poison,260,30,45,59,30,39,57,5,false
544,whirlipede,bug,poison,360,40,55,99,40,79,47,5,false
545,scolipede,bug,poison,485,60,100,89,55,69,112,5,false
546,cottonee,grass,fairy,280,40,27,60,37,50,66,5,false
547,whimsicott,grass,fairy,480,60,67,85,77,75,116,5,false
548,petilil,grass,,280,45,35,50,70,50,30,5,false
549,lilligant,grass,,480,70,60,75,110,75,90,5,false
550,basculin,water,,460,70,92,65,80,55,98,5,false
551,sandile,ground,dark,292,50,72,35,35,35,65,5,false
552,krokorok,ground,dark,351,60,82,45,45,45,74,5,false
553,krookodile,ground,dark,519,95,117,80,65,70,92,5,false
554,darumaka,fire,,315,70,90,45,15,45,50,5,false
555,darmanitanstandard mode,fire,,480,105,140,55,30,55,95,5,false
556,maractus,grass,,461,75,86,67,106,67,60,5,false
557,dwebble,bug,rock,325,50,65,85,35,35,55,5,false
558,crustle,bug,rock,475,70,95,125,65,75,45,5,false
559,scraggy,dark,fighting,348,50,75,70,35,70,48,5,false
560,scrafty,dark,fighting,488,65,90,115,45,115,58,5,false
561,sigilyph,psychic,flying,490,72,58,80,103,80,97,5,false
562,yamask,ghost,,303,38,30,85,55,65,30,5,false
563,cofagrigus,ghost,,483,58,50,145,95,105,30,5,false
564,tirtouga,water,rock,355,54,78,103,53,45,22,5,false
565,carracosta,water,rock,495,74,108,133,83,65,32,5,false
566,archen,rock,flying,401,55,112,45,74,45,70,5,false
567,archeops,rock,flying,567,75,140,65,112,65,110,5,false
568,trubbish,poison,,329,50,50,62,40,62,65,5,false
569,garbodor,poison,,474,80,95,82,60,82,75,5,false
570,zorua,dark,,330,40,65,40,80,40,65,5,false
571,zoroark,dark,,510,60,105,60,120,60,105,5,false
572,minccino,normal,,300,55,50,40,40,40,75,5,false
573,cinccino,normal,,470,75,95,60,65,60,115,5,false
574,gothita,psychic,,290,45,30,50,55,65,45,5,false
575,gothorita,psychic,,390,60,45,70,75,85,55,5,false
576,gothitelle,psychic,,490,70,55,95,95,110,65,5,false
577,solosis,psychic,,290,45,30,40,105,50,20,5,false
578,duosion,psychic,,370,65,40,50,125,60,30,5,false
579,reuniclus,psychic,,490,110,65,75,125,85,30,5,false
580,ducklett,water,flying,305,62,44,50,44,50,55,5,false
581,swanna,water,flying,473,75,87,63,87,63,98,5,false
582,vanillite,ice,,305,36,50,50,65,60,44,5,false
583,vanillish,ice,,395,51,65,65,80,75,59,5,false
584,vanilluxe,ice,,535,71,95,85,110,95,79,5,false
585,deerling,normal,grass,335,60,60,50,40,50,75,5,false
586,sawsbuck,normal,grass,475,80,100,70,60,70,95,5,false
587,emolga,electric,flying,428,55,75,60,75,60,103,5,false
588,karrablast,bug,,315,50,75,45,40,45,60,5,false
589,escavalier,bug,steel,495,70,135,105,60,105,20,5,false
590,foongus,grass,poison,294,69,55,45,55,55,15,5,false
591,amoonguss,grass,poison,464,114,85,70,85,80,30,5,false
592,frillish,water,ghost,335,55,40,50,65,85,40,5,false
593,jellicent,water,ghost,480,100,60,70,85,105,60,5,false
594,alomomola,water,,470,165,75,80,40,45,65,5,false
595,joltik,bug,electric,319,50,47,50,57,50,65,5,false
596,galvantula,bug,electric,472,70,77,60,97,60,108,5,false
597,ferroseed,grass,steel,305,44,50,91,24,86,10,5,false
598,ferrothorn,grass,steel,489,74,94,131,54,116,20,5,false
599,klink,steel,,300,40,55,70,45,60,30,5,false
600,klang,steel,,440,60,80,95,70,85,50,5,false
601,klinklang,steel,,520,60,100,115,70,85,90,5,false
602,tynamo,electric,,275,35,55,40,45,40,60,5,false
603,eelektrik,electric,,405,65,85,70,75,70,40,5,false
604,eelektross,electric,,515,85,115,80,105,80,50,5,false
605,elgyem,psychic,,335,55,55,55,85,55,30,5,false
606,beheeyem,psychic,,485,75,75,75,125,95,40,5,false
607,litwick,ghost,fire,275,50,30,55,65,55,20,5,false
608,lampent,ghost,fire,370,60,40,60,95,60,55,5,false
609,chandelure,ghost,fire,520,60,55,90,145,90,80,5,false
610,axew,dragon,,320,46,87,60,30,40,57,5,false
611,fraxure,dragon,,410,66,117,70,40,50,67,5,false
612,haxorus,dragon,,540,76,147,90,60,70,97,5,false
613,cubchoo,ice,,305,55,70,40,60,40,40,5,false
614,beartic,ice,,485,95,110,80,70,80,50,5,false
615,cryogonal,ice,,485,70,50,30,95,135,105,5,false
616,shelmet,bug,,305,50,40,85,40,65,25,5,false
617,accelgor,bug,,495,80,70,40,100,60,145,5,false
618,stunfisk,ground,electric,471,109,66,84,81,99,32,5,false
619,mienfoo,fighting,,350,45,85,50,55,50,65,5,false
620,mienshao,fighting,,510,65,125,60,95,60,105,5,false
621,druddigon,dragon,,485,77,120,90,60,90,48,5,false
622,golett,ground,ghost,303,59,74,50,35,50,35,5,false
623,golurk,ground,ghost,483,89,124,80,55,80,55,5,false
624,pawniard,dark,steel,340,45,85,70,40,40,60,5,false
625,bisharp,dark,steel,490,65,125,100,60,70,70,5,false
626,bouffalant,normal,,490,95,110,95,40,95,55,5,false
627,rufflet,normal,flying,350,70,83,50,37,50,60,5,false
628,braviary,normal,flying,510,100,123,75,57,75,80,5,false
629,vullaby,dark,flying,370,70,55,75,45,65,60,5,false
630,mandibuzz,dark,flying,510,110,65,105,55,95,80,5,false
631,heatmor,fire,,484,85,97,66,105,66,65,5,false
632,durant,bug,steel,484,58,109,112,48,48,109,5,false
633,deino,dark,dragon,300,52,65,50,45,50,38,5,false
634,zweilous,dark,dragon,420,72,85,70,65,70,58,5,false
635,hydreigon,dark,dragon,600,92,105,90,125,90,98,5,false
636,larvesta,bug,fire,360,55,85,55,50,55,60,5,false
637,volcarona,bug,fire,550,85,60,65,135,105,100,5,false
638,cobalion,steel,fighting,580,91,90,129,90,72,108,5,true
639,terrakion,rock,fighting,580,91,129,90,72,90,108,5,true
640,virizion,grass,fighting,580,91,90,72,90,129,108,5,true
641,tornadusincarnate forme,flying,,580,79,115,70,125,80,111,5,true
642,thundurusincarnate forme,electric,flying,580,79,115,70,125,80,111,5,true
643,reshiram,dragon,fire,680,100,120,100,150,120,90,5,true
644,zekrom,dragon,electric,680,100,150,120,120,100,90,5,true
645,landorusincarnate forme,ground,flying,600,89,125,90,115,80,101,5,true
646,kyurem,dragon,ice,660,125,130,90,130,90,95,5,true
647,keldeoordinary forme,water,fighting,580,91,72,90,129,90,108,5,false
648,meloettapirouette forme,normal,fighting,600,100,128,90,77,77,128,5,false
649,genesect,bug,steel,600,71,120,95,120,95,99,5,false
650,chespin,grass,,313,56,61,65,48,45,38,6,false
651,quilladin,grass,,405,61,78,95,56,58,57,6,false
652,chesnaught,grass,fighting,530,88,107,122,74,75,64,6,false
653,fennekin,fire,,307,40,45,40,62,60,60,6,false
654,braixen,fire,,409,59,59,58,90,70,73,6,false
655,delphox,fire,psychic,534,75,69,72,114,100,104,6,false
656,froakie,water,,314,41,56,40,62,44,71,6,false
657,frogadier,water,,405,54,63,52,83,56,97,6,false
658,greninja,water,dark,530,72,95,67,103,71,122,6,false
659,bunnelby,normal,,237,38,36,38,32,36,57,6,false
660,diggersby,normal,ground,423,85,56,77,50,77,78,6,false
661,fletchling,normal,flying,278,45,50,43,40,38,62,6,false
662,fletchinder,fire,flying,382,62,73,55,56,52,84,6,false
663,talonflame,fire,flying,499,78,81,71,74,69,126,6,false
664,scatterbug,bug,,200,38,35,40,27,25,35,6,false
665,spewpa,bug,,213,45,22,60,27,30,29,6,false
666,vivillon,bug,flying,411,80,52,50,90,50,89,6,false
667,litleo,fire,normal,369,62,50,58,73,54,72,6,false
668,pyroar,fire,normal,507,86,68,72,109,66,106,6,false
669,flabébé,fairy,,303,44,38,39,61,79,42,6,false
670,floette,fairy,,371,54,45,47,75,98,52,6,false
671,florges,fairy,,552,78,65,68,112,154,75,6,false
672,skiddo,grass,,350,66,65,48,62,57,52,6,false
673,gogoat,grass,,531,123,100,62,97,81,68,6,false
674,pancham,fighting,,348,67,82,62,46,48,43,6,false
675,pangoro,fighting,dark,495,95,124,78,69,71,58,6,false
676,furfrou,normal,,472,75,80,60,65,90,102,6,false
677,espurr,psychic,,355,62,48,54,63,60,68,6,false
678,meowsticmale,psychic,,466,74,48,76,83,81,104,6,false
679,honedge,steel,ghost,325,45,80,100,35,37,28,6,false
680,doublade,steel,ghost,448,59,110,150,45,49,35,6,false
681,aegislashblade forme,steel,ghost,520,60,150,50,150,50,60,6,false
682,spritzee,fairy,,341,78,52,60,63,65,23,6,false
683,aromatisse,fairy,,462,101,72,72,99,89,29,6,false
684,swirlix,fairy,,341,62,48,66,59,57,49,6,false
685,slurpuff,fairy,,480,82,80,86,85,75,72,6,false
686,inkay,dark,psychic,288,53,54,53,37,46,45,6,false
687,malamar,dark,psychic,482,86,92,88,68,75,73,6,false
688,binacle,rock,water,306,42,52,67,39,56,50,6,false
689,barbaracle,rock,water,500,72,105,115,54,86,68,6,false
690,skrelp,poison,water,320,50,60,60,60,60,30,6,false
691,dragalge,poison,dragon,494,65,75,90,97,123,44,6,false
692,clauncher,water,,330,50,53,62,58,63,44,6,false
693,clawitzer,water,,500,71,73,88,120,89,59,6,false
694,helioptile,electric,normal,289,44,38,33,61,43,70,6,false
695,heliolisk,electric,normal,481,62,55,52,109,94,109,6,false
696,tyrunt,rock,dragon,362,58,89,77,45,45,48,6,false
697,tyrantrum,rock,dragon,521,82,121,119,69,59,71,6,false
698,amaura,rock,ice,362,77,59,50,67,63,46,6,false
699,aurorus,rock,ice,521,123,77,72,99,92,58,6,false
700,sylveon,fairy,,525,95,65,65,110,130,60,6,false
701,hawlucha,fighting,flying,500,78,92,75,74,63,118,6,false
702,dedenne,electric,fairy,431,67,58,57,81,67,101,6,false
703,carbink,rock,fairy,500,50,50,150,50,150,50,6,false
704,goomy,dragon,,300,45,50,35,55,75,40,6,false
705,sliggoo,dragon,,452,68,75,53,83,113,60,6,false
706,goodra,dragon,,600,90,100,70,110,150,80,6,false
707,klefki,steel,fairy,470,57,80,91,80,87,75,6,false
708,phantump,ghost,grass,309,43,70,48,50,60,38,6,false
709,trevenant,ghost,grass,474,85,110,76,65,82,56,6,false
710,pumpkabooaverage size,ghost,grass,335,49,66,70,44,55,51,6,false
711,gourgeistsuper size,ghost,grass,494,85,100,122,58,75,54,6,false
712,bergmite,ice,,304,55,69,85,32,35,28,6,false
713,avalugg,ice,,514,95,117,184,44,46,28,6,false
714,noibat,flying,dragon,245,40,30,35,45,40,55,6,false
715,noivern,flying,dragon,535,85,70,80,97,80,123,6,false
716,xerneas,fairy,,680,126,131,95,131,98,99,6,true
717,yveltal,dark,flying,680,126,131,95,131,98,99,6,true
718,zygarde50% forme,dragon,ground,600,108,100,121,81,95,95,6,true
719,diancie,rock,fairy,600,50,100,150,100,150,50,6,true
720,hoopahoopa unbound,psychic,dark,680,80,160,60,170,130,80,6,true
721,volcanion,fire,water,600,80,110,120,130,90,70,6,true
